Task,Trigger,currentPosX,currentPosY,currentPosZ,pathElapsedX,pathElapsedY,pathElapsedZ,rotX,rotY,rotZ,magnitude
Task2,0,-11.15539,1.452938,14.47328,0.08172417,0.004361629,0.007357597,13.40168,86.7038,4.388368E-07,0.08217054,
Task2,0,-11.06755,1.459028,14.48232,0.08783722,0.006089211,0.009037018,13.40123,86.7027,4.388359E-07,0.08851058,
Task2,0,-10.97422,1.466348,14.49299,0.09333038,0.007320285,0.01067352,13.41553,86.70177,0,0.09422351,
Task2,0,-10.87589,1.473009,14.50415,0.0983305,0.006660819,0.01116467,13.49987,86.70115,-4.390166E-07,0.0991862,
Task2,0,-10.77301,1.478042,14.5149,0.1028824,0.005033493,0.01075077,13.54811,86.70088,0,0.103565,
Task2,0,-10.66632,1.485369,14.5302,0.1066933,0.007326961,0.01529217,13.60522,86.70055,-4.392113E-07,0.1080323,
Task2,0,-10.55584,1.488761,14.54348,0.1104755,0.003391743,0.01328564,13.63303,86.70042,0,0.1113232,
Task2,0,-10.4422,1.489882,14.5592,0.113636,0.001120806,0.01571465,13.65644,86.70029,0,0.1147229,
Task2,0,-10.32559,1.487027,14.57485,0.1166086,-0.002854228,0.01565075,13.67101,86.7002,0,0.1176888,
Task2,0,-10.20625,1.481958,14.58935,0.1193485,-0.005069494,0.01449871,13.67827,86.70016,4.393471E-07,0.1203328,
Task2,0,-10.08443,1.476076,14.60276,0.1218166,-0.005881667,0.01340961,13.68483,86.70012,-4.393594E-07,0.1226935,
Task2,0,-9.960627,1.465009,14.61926,0.1238031,-0.01106751,0.01650238,13.69067,86.70009,-4.393703E-07,0.1253875,
Task2,0,-9.834669,1.456943,14.6322,0.1259575,-0.008065939,0.01293945,13.69339,86.70008,0,0.126877,
Task2,0,-9.706913,1.449332,14.64434,0.1277561,-0.007610321,0.012146,13.69537,86.70007,-4.393791E-07,0.1285576,
Task2,0,-9.57744,1.443122,14.65533,0.1294727,-0.006210566,0.01098156,13.73836,86.74127,-4.394596E-07,0.1300859,
Task2,0,-9.446038,1.439997,14.66418,0.131402,-0.003124833,0.00885582,13.87269,87.00261,-4.397128E-07,0.1317372,
Task2,0,-9.326952,1.437118,14.6683,0.1190863,-0.002879024,0.004118919,14.02505,87.59949,0,0.1191923,
Task2,0,-9.219408,1.43262,14.66972,0.1075439,-0.004498005,0.001416206,14.14887,88.32129,4.40242E-07,0.1076473,
Task2,0,-9.122012,1.425679,14.66734,0.0973959,-0.006941319,-0.002381325,14.25897,89.33111,0,0.09767197,
Task2,0,-9.034021,1.419209,14.66285,0.08799076,-0.006469727,-0.004486084,14.33146,90.53453,4.405982E-07,0.08834227,
Task2,0,-8.954576,1.413339,14.65666,0.07944489,-0.005869865,-0.006186485,14.38235,91.92184,0,0.0799013,
Task2,0,-8.882653,1.40694,14.64749,0.07192326,-0.006399393,-0.00917244,14.42416,93.73402,4.40781E-07,0.07278764,
Task2,0,-8.818532,1.402451,14.63812,0.06412125,-0.004488468,-0.009374619,14.48183,95.16051,4.408954E-07,0.06495817,
Task2,0,-8.760843,1.397943,14.62666,0.05768871,-0.004508734,-0.0114584,14.59718,96.83689,-8.822514E-07,0.05898823,
Task2,0,-8.709448,1.39484,14.6153,0.05139542,-0.003102064,-0.01136208,14.72986,98.21524,0,0.05272768,
Task2,0,-8.622458,1.391654,14.59476,0.0869894,-0.003185987,-0.02053642,14.94836,100.2933,0,0.08943742,
Task2,0,-8.552969,1.390133,14.57477,0.06948948,-0.001521349,-0.01999092,15.01819,101.9736,0,0.07232385,
Task2,0,-8.497582,1.390183,14.55741,0.05538654,5.030632E-05,-0.01735687,14.94063,102.8713,8.836466E-07,0.05804251,
Task2,0,-8.434313,1.391782,14.53655,0.06326962,0.001598835,-0.02086449,14.8407,103.4584,4.416185E-07,0.06664028,
Task2,0,-8.361733,1.393547,14.51532,0.07257938,0.001765132,-0.02122498,14.81957,103.5836,0,0.07563982,
Task2,0,-8.310637,1.395722,14.49939,0.05109596,0.002174139,-0.01593113,14.8128,103.6238,0,0.05356608,
Task2,0,-8.250727,1.39825,14.48142,0.05991077,0.002528787,-0.01796818,14.80917,103.6455,4.415542E-07,0.06259833,
Task2,0,-8.183021,1.401666,14.46101,0.06770611,0.003415346,-0.02040768,14.80643,103.662,0,0.07079728,
Task2,0,-8.108527,1.407161,14.43747,0.07449341,0.005494833,-0.02354145,14.80422,103.6752,-4.41544E-07,0.07831769,
Task2,0,-8.027508,1.412932,14.41283,0.0810194,0.005771041,-0.02464199,14.80291,103.6831,0,0.08488036,
Task2,0,-7.940577,1.418594,14.38734,0.08693123,0.00566268,-0.0254879,14.8021,103.688,-4.415398E-07,0.09076749,
Task2,0,-7.862577,1.425723,14.36343,0.07799959,0.007128358,-0.02391529,14.8014,103.6922,-4.415383E-07,0.08189439,
Task2,0,-7.792092,1.43073,14.34308,0.07048464,0.005007386,-0.02034473,14.80101,103.6817,4.415375E-07,0.07353276,
